"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1993-07-31,"P5",16630,1385.83333333333,760.5,1667.61287383184,237,47.4,36,53.5378370874282,517,22.4782608695652,17,13.0379500801503,17384,599.448275862069,30,1261.48259107536
1993-08-31,"A3",1552,388,483,266.395695660922,47,11.75,8.5,13.1497781983829,55,9.16666666666667,7,6.64580067912563,1654,150.363636363636,8,243.648629270625
1993-08-31,"G4",4966,551.777777777778,200,632.726595335177,30,7.5,5.5,5.19615242270663,116,10.5454545454545,8,6.90454395834564,5112,319.5,22,542.513901511596
1993-08-31,"None",46443,533.827586206897,332,727.240358956562,2654,53.08,20,110.74531178173,1636,11.6857142857143,7,34.4287577875746,50733,240.440758293839,14,540.279389846361
1993-08-31,"P5",16973,1414.41666666667,749,1755.80996374547,242,48.4,39,53.1394392142032,496,21.5652173913043,15,11.8889791860763,17711,610.724137931035,30,1315.36311924426
1993-09-30,"A3",1635,408.75,491.5,287.066049310375,41,13.6666666666667,11,14.1891977691952,55,9.16666666666667,7.5,5.91326193117358,1731,173.1,14,266.025249428195
1993-09-30,"G4",6958,869.75,528.5,1104.41306325383,37,7.4,7,5.41294744108974,113,10.2727272727273,6,7.82420486811164,7108,444.25,22.5,875.725489713148
1993-09-30,"None",46990,540.114942528736,324,723.998513188878,1825,43.4523809523809,16,113.257143721484,1812,11.2546583850932,6,32.0168470307246,50627,221.078602620087,12,520.090623788225
1993-09-30,"P5",16148,1345.66666666667,707.5,1749.09827850775,102,25.5,30.5,18.3030052177231,442,18.4166666666667,15,8.3088044798309,16692,556.4,28,1272.23242834167
1993-10-31,"A3",1636,409,492.5,286.978512552189,51,25.5,25.5,20.5060966544099,56,9.33333333333333,7.5,5.71547606649408,1743,193.666666666667,20,273.277789071853
1993-10-31,"G4",7826,869.555555555556,53,1647.57428596643,38,7.6,7,5.12835256198323,99,9,5,7.96241169495775,7963,468.411764705882,21,1245.67742909348
1993-10-31,"None",45992,474.144329896907,209,698.840244465946,847,21.7179487179487,15,22.2650879865751,1806,11.3584905660377,6,31.9137054441433,48645,207.884615384615,12,509.92641851005
1993-10-31,"P5",16263,1478.45454545455,936,1726.41213872217,103,34.3333333333333,40,10.6926766215636,336,13.44,14,8.49548899907082,16702,521.9375,17.5,1217.10263933549
